Column1,Column2.1,Column2.2
HAO KOU WEI (16A),16A SUNGEI KADUT WAY, 728794
HAO KOU WEI (271),271 BUKIT BATOK EAST AVE 4, 650271
HAPPY HAWKER,267 COMPASSVALE LINK, 540267
HAPPY HAWKER,467 BUKIT BATOK WEST AVE 9, 650467
HAPPY HAWKER (18),18 JALAN MEMBINA, 164018
HAPPY HAWKER (204),204 BEDOK NORTH ST 1, 460204
HAPPY HAWKER (289C),289C COMPASSVALE CRES, 541289
HAPPY HAWKER (433A SENGKANG),433A SENGKANG WEST WAY, 791433
HAPPY HAWKER (531),531 ANG MO KIO AVE 10, 560531
HAPPY HAWKER (602B),602B TAMPINES AVE 9, 522602
HAPPY HAWKER (632),632 BUKIT BATOK CENTRAL, 650632
HAPPY HAWKER (671),671 EDGEFIELD PLAINS, 820671
HAPPY HAWKER (739),739 BEDOK RESERVOIR RD, 470739
HAPPY HAWKER (747),747 YISHUN ST 72, 760747
HAPPY HAWKER (872C),872C TAMPINES ST 86, 528588
HAPPY HAWKERS,201 KIM TIAN RD, 160201
HAPPY HAWKERS (215C),215C COMPASSVALE DR, 543215
HAPPY HAWKERS (256 YISHUN),256 YISHUN RING RD, 760256
HAPPY HAWKERS (406A SEMBAWANG),406A SEMBAWANG DR, 751406
HAWKER CENTRE @ OUR TAMPINES HUB,1 TAMPINES WALK, 528523
HEAP SENG LEONG,10 NORTH BRIDGE RD, 190010
HER CHONG EATING HOUSE,20 NEYTHAL RD, 628585
HOCK HUA COFFEE SHOP,111 JALAN BUKIT MERAH, 160111
HOCK SIN,118 COMMONWEALTH CRES, 140118
HOE SENG F&B ENTERPRISE PTE LTD,44 BENDEMEER RD, 330044
HOKI (146),146 JALAN BUKIT MERAH, 160146
HOKI (150A),150A BISHAN ST 11, 571150
HOLA (248),248 SIMEI ST 3, 520248
HOLLAND DRIVE FOOD CENTRE,44 HOLLAND DRIVE, 270044
HOLLAND VILLAGE FOOD CENTRE,1 LORONG MAMBONG, 277700
HOLLYWOOD BISTRO,58 LENGKOK BAHRU, 150058
HONG FU LING 81 EATING HOUSE,81 WHAMPOA DR, 320081
HONG KAH FOOD PLACE,376 BUKIT BATOK ST 31, 650376
HONG KONG ST CHUN KEE RESTAURANT,125 BUKIT MERAH LN 1, 150125
HONG KONG STREET,158 ANG MO KIO AVE 4, 560158
HONG LEE,7 EUNOS CRES, 400007
HONG LIM FOOD CENTRE,531A UPPER CROSS ST, 051531
HONG YUN FISHERY,414 YISHUN RING RD, 760414
HOUGANG FOOD PLACE,246 HOUGANG ST 22, 530246
HOY FATT 28,28 HOY FATT RD, 151028
HUA FONG KEE FOOD COURT PTE LTD,116 LORONG 2 TOA PAYOH, 310116
HUA HUA EATING HOUSE,81 MARINE PARADE CENTRAL, 440081
HUANG HONGJI PORRIDGE,269B PUNGGOL FIELD, 822269
HUAT LI EATING HOUSE,1001 YISHUN IND PARK A, 768743
HUO SHI XUAN,354A WOODLANDS AVE 1, 731354
HUP CHONG PTE LTD,28 PENJURU CLOSE, 608619
J&J EATING HOUSE,557 JURONG WEST ST 42, 640557
J99 EATING HOUSE,186 TOA PAYOH CENTRAL, 310186
JALAN BATU HAWKER CENTRE,4A JALAN BATU, 432004
JIA FU FANG,80 REDHILL LN, 150080
JIAN LAI XING,5 ANG MO KIO IND PARK 2A, 567760
JIN BAO COFFEESHOP,280 TAMPINES ST 22, 520280
JIN BIAO COFFEESHOP (136),136 POTONG PASIR AVE 3, 350136
JINYUAN FOOD HOUSE,416 BEDOK NORTH AVE 2, 460416
JOHNSON EATERY,125 LORONG 1 TOA PAYOH, 310125
JOHNSON EATERY,9 TOA PAYOH IND PARK, 319061
JOO CHIAT FOOD CENTRE,1 JOO CHIAT RD, 420001
JOO SENG FOOD PLACE,1 UPPER ALJUNIED LN, 360001
JTC CLEANTECH PARK ONE,1 CLEANTECH LOOP, 637141
JURONG SOON LEE EATING HOUSE,11 SOON LEE RD, 628075
JURONG WEST 505 MARKET AND FOOD CENTRE,505 JURONG WEST ST 52, 640505
JUZ EAT,11 SENOKO WAY, 758032
JW 504 F&B,504 JURONG WEST ST 51, 640504
K88 COFFEE HOUSE,5 BANDA ST, 050005
KAI XIANG FOOD CENTRE,349 JURONG EAST AVE 1, 600349
KALLANG ESTATE MARKET,17 OLD AIRPORT RD, 397972
KAMPUNG ADMIRALTY HAWKER CENTRE,676 WOODLANDS DR 71, 730676
KAMPUNG UBI EATING HOUSE,3024 UBI RD3, 408652
KEAT HONG SHOPPING CENTRE WET MARKET,253 CHOA CHU KANG AVE 1, 680253
KEBUN BARU FOOD CENTRE,226H ANG MO KIO ST 22, 568226
KEBUN BARU MARKET AND FOOD CENTRE,226D ANG MO KIO AVE 1, 564226
KEDAI KOPI,12 HAIG RD, 430012
KEEN WAH COFFEE HOUSE,264 TAMPINES ST 21, 520264
KENG ENG KEE SEAFOOD,124 BUKIT MERAH LN 1, 150124
KENNY EATING HOUSE,9008 TAMPINES ST 93, 528843
KERK'S KOPITIAM,883 WOODLANDS ST 82, 730883
KIAN SENG SEAFOOD RESTAURANT,4013 ANG MO KIO IND. PARK, 569629
KIM CHUAN EATING HOUSE,1010 TAI SENG AVE, 534417
KIM KEAT FOOD N DRINKS CENTRE,260 KIM KEAT AVE, 310260
KIM KEAT PALM MARKET & FOOD CENTRE,22 LORONG 7 TOA PAYOH, 310022
KIM SAN LENG,116 BUKIT MERAH VIEW, 151116
KIM SAN LENG,46 OWEN RD, 210046
KIM SAN LENG (116),116 BUKIT MERAH VIEW, 151116
KIM SAN LENG (134),134 GEYLANG EAST AVE 1, 380134
KIM SAN LENG (138),138 TAMPINES ST 11, 521138
KIM SAN LENG (226B),226B ANG MO KIO AVE 1, 562226
KIM SAN LENG (259),259 BUKIT PANJANG RING RD, 671259
KIM SAN LENG (259),259A BANGKIT RD, 670259
KIM SAN LENG (417),417 YISHUN AVE 11, 760417
KIM SAN LENG (511),511 BISHAN ST 13, 570511
KIMLY,134 LORONG AH SOO, 530134
KIMLY,2A EUNOS CRES, 401002
KIMLY (101),101 YISHUN AVE 5, 760101
KIMLY (106),106 BIDADARI PARK DR, 340106
KIMLY (123),123 BEDOK NORTH ST 2, 460123
KIMLY (131),131 MARSILING RISE, 730131
KIMLY (132),132 JURONG GATEWAY RD, 600132
KIMLY (143),143 TECK WHYE LN, 680143
KIMLY (146 POTONG PASIR),146 POTONG PASIR AVE 1, 350146
KIMLY (147),147 SERANGOON NORTH AVE 1, 550147
KIMLY (150 BUKIT BATOK),150 BUKIT BATOK ST 11, 650150
KIMLY (163A),163A GANGSA RD, 671163
KIMLY (202),202 ANG MO KIO AVE 3, 560202
KIMLY (221),221 BOON LAY PLACE, 640221
KIMLY (233 YISHUN),233 YISHUN ST 21, 760233
KIMLY (266),266 COMPASSVALE BOW, 540266
KIMLY (280 BISHAN),280 BISHAN ST 24, 570280
KIMLY (292 BUKIT BATOK),292 BUKIT BATOK EAST AVE 6, 650292
KIMLY (29A GHIM MOH),29A GHIM MOH LINK, 271029
KIMLY (29B CHAI CHEE),29B CHAI CHEE AVE, 462029
KIMLY (303),303 JURONG EAST ST 32, 600303
KIMLY (304),304 SERANGOON AVE 2, 550304
KIMLY (322),322 SUMANG WALK, 820322
KIMLY (325),325 CLEMENTI AVE 5, 120325
KIMLY (327 HOUGANG),327 HOUGANG AVE 5, 530327
KIMLY (346),346 JURONG EAST ST 31, 600346
KIMLY (346A),346A KANG CHING RD, 611346
KIMLY (347 AMK),347 ANG MO KIO AVE 3, 560347
KIMLY (347 BUKIT BATOK),347 BUKIT BATOK ST 34, 650347
KIMLY (365),365 SEMBAWANG CRES, 750365
KIMLY (408 AMK),408 ANG MO KIO AVE 10, 560408
KIMLY (418 YISHUN),418 YISHUN AVE 11, 760418
KIMLY (444),444 PASIR RIS DR 6, 510444
KIMLY (450),450 CLEMENTI AVE 3, 120450
KIMLY (476),476D UPPER SERANGOON VIEW, 537476
KIMLY (501),501 JURONG WEST ST 51, 640501
KIMLY (527C),527C PASIR RIS ST 51, 513527
KIMLY (631),631 BEDOK RESERVOIR RD, 470631
KIMLY (651),651 JURONG WEST ST 61, 640651
KIMLY (679),679 JURONG WEST CENTRAL 1, 640679
KIMLY (684),684 HOUGANG AVE 8, 530684
KIMLY (691),691 WOODLANDS DR 73, 730691
KIMLY (7),7 EVERTON PARK, 080007
KIMLY (722),722 ANG MO KIO AVE 8, 560722
KIMLY (742A),742A TAMPINES ST 72, 521742
KIMLY (826),826 TAMPINES ST 81, 520826
KIMLY (827),827 TAMPINES ST 81, 520827
KIMLY (878C TAMPINES),878C TAMPINES AVE 8, 523878
KOLA FOOD CENTRE,36 SIN MING DR, 575710
KOPI BREWERIES,18B CIRCUIT RD, 370218
KOPI BREWERIES,429 JURONG WEST AVE 1, 640429
KOPI KIA,56 NEW UPPER CHANGI RD, 461056
KOPI STORY,537 BEDOK NORTH ST 3, 460537
KOPITIAM,275D COMPASSVALE LINK, 544275
KOPITIAM,361 SEMBAWANG CRES, 750361
KOPITIAM (10),10 SENGKANG SQUARE, 544829
KOPITIAM (108),108 PUNGGOL FIELD, 820108
KOPITIAM (118),118 RIVERVALE DR, 540118
KOPITIAM (19),19 GHIM MOH RD, 270019
KOPITIAM (248),248 SIMEI ST 3, 520248
KOPITIAM (437),437 FERNVALE RD, 790437
KOPITIAM (450),450 CLEMENTI AVE 3, 120450
KOPITIAM (504),504 YISHUN ST 51, 760504
KOPITIAM (524A),524A JELAPANG RD, 671524
KOPITIAM (542B),542B SERANGOON NORTH AVE, 552542
KOPITIAM (548),548 WOODLANDS DR 44, 730548
KOPITIAM (624),624 CHOA CHU KANG ST 62, 680624
KOPITIAM (628),628 SENJA RD, 670628
KOPITIAM (639),639 PUNGGOL DR, 820639
KOPITIAM (735),735 PASIR RIS ST 72, 510735
KOPITIAM CORNER,308 ANCHORVALE RD, 540308
KOPITIAM CORNER (273C),273C PUNGGOL PLACE, 823273
KOPIWU,732 YISHUN AVE 5, 760732
KOPIWU (420A),420A CLEMENTI AVE 1, 121420
KOPIWU (732),732 YISHUN AVE 5, 760732
KOUFU (117),117 PENDING RD, 670117
KOUFU (118),118 RIVERVALE DR, 540118
KOUFU (168),168 PUNGGOL FIELD, 820168
KOUFU (263),263 COMPASSVALE ST, 540263
KOUFU (399),399 YUNG SHENG RD, 610399
KOUFU (445),445 FAJAR RD, 670445
KOUFU (500),500 LORONG 6 TOA PAYOH, 310500
KOUFU (511),511 CANBERRA RD, 750511
KOUFU (57),57 DAWSON RD, 142057
KOUFU (638A),638A JURONG WEST ST 61, 641638
KOUFU (762),762 JURONG WEST ST 75, 640762
KOUFU (768),768 WOODLANDS AVE 6, 730768
KOUFU (88),88 TANGLIN HALT RD, 141088
KOUFU (991),991 BUANGKOK LINK, 530991
KOVAN 212,212 HOUGANG ST 21, 530212
KOVAN FOOD CENTRE,209 HOUGANG ST 21, 530209
KPT (127),127 BUKIT MERAH LN 1, 150127
KPT (401),401 HOUGANG AVE 10, 530401
KPT (445),440 PASIR RIS DR, 510440
KPT (504A),504A SERANGOON NORTH AVE 4, 555850
KPT (515A),515A WOODLANDS DR 14, 731515
KPT (651A),651A JALAN TENAGA, 411651
KPT (848),848 YISHUN ST 81, 760848
KPT (SEMBAWANG),313 SEMBAWANG DR, 750313
KUKOH 21 FOOD CENTRE,1 JALAN KUKOH, 161001
KWEK SENG HUAT EATING HOUSE,350A ANCHORVALE RD, 541350
LA KOPI,262 SERANGOON CENTRAL, 550262
LA KOPI (BUKIT MERAH),165 BUKIT MERAH CENTRAL, 150165
LAI HOCK SING MARKET,27A CHAI CHEE RD, 461027
LAO ZI HAO KOPITIAM,46 TELOK BLANGAH DR, 100046
LAU AH TEE BAK KUT TEH,34 WHAMPOA WEST, 330034
LE CHASSEUR,27 EUNOS RD2, 409387
LEE KWANG KEE TEOCHEW CUISINE,212 LORONG 8 TOA PAYOH, 310102
LEE QUAN (ANG MO KIO),422 ANG MO KIO AVE 3, 560422
LEONG JI EATING HOUSE,658 PUNGGOL EAST, 820658
LEPAK ONE CORNER,326 ANCHORVALE RD, 540326
LIAN HWA EATING HOUSE,18 JALAN SULTAN, 190018
LIAN SENG,40 BEO CRES, 160040
LIAN WAH KOPITIAM,133 ANG MO KIO AVE 3, 560133
LIM YAN HWEE TRADING,261 SERANGOON CENTRAL, 550261
LIMBANG WET MARKET,532 CHOA CHU KANG ST 51, 680532
LITTLE ELEPHANTS THAI BISTRO,57 ENG HOON ST, 160057
LOYANG WAY FOOD VILLAGE,64 LOYANG WAY, 508754
LUCKY MARKET,511 CANBERRA RD, 750511
LUCKY STAR,323 BUKIT BATOK ST 33, 650323
LUCKY STAR EATING HOUSE,211 MARSILING CRES, 730211
LW EATING HOUSE,26 TECK WHYE LN, 680026
M. RAFFICK MUTTON & CHICKEN SUPPLIES PTE LTD,294 YISHUN ST 22, 760294
MACPHERSON MARKET AND FOOD CENTRE,89 CIRCUIT RD, 370089
MARGARET DRIVE HAWKER CENTRE,38A MARGARET DR, 142038
MARKET STREET INTERIM HAWKER CENTRE,86 MARKET ST, 048947
MARSILING LANE BLOCK 21 FOOD CENTRE,21 MARSILING LN, 730021
MARSILING LANE MARKET AND COOKED FOOD CENTRE,20 MARSILING LN, 730020
MARSILING MALL HAWKER CENTRE,4 WOODLANDS ST 12, 738623
MAXIM STAR COFFEESHOP,168 LORONG 1 TOA PAYOH, 310168
MAXWELL FOOD CENTRE,1 KADAYANALLUR ST, 069184
MAYFLOWER FOOD CENTRE,162 ANG MO KIO AVE 4, 560162
MAYFLOWER MARKET,160 ANG MO KIO AVE 4, 560160
MEALBOX,30 BIOPOLIS ST, 138671
MEET UP @ 203,203 HOUGANG ST 21, 530203
MEETUP @ 352,352 CLEMENTI AVE 2, 120352
MEETUP @ 494,494 JURONG WEST ST 41, 640494
MEI CHENG SHI GE,53 SIMS PLACE, 380053
MEI DE,273 BUKIT BATOK EAST AVE 4, 650273
MEI DE,279 BUKIT BATOK EAST AVE 3, 650279
MEI LING MARKET,159 MEI CHIN RD, 140159
MENG SOON HUAT FOOD CENTRE,359 BUKIT BATOK ST 31, 650359
MIN LOCK EATING HOUSE,22 SENOKO LOOP, 758154
MIN LOCK YUEN EATING HOUSE,1 KAKI BUKIT AVE 3, 416087
MING SOON FATT FOOD CENTRE,178 PANDAN LOOP, 128370
MR TEH TARIK (MARSILING PARK),20 WOODLANDS CENTRE RD, 738937
MT59 FOOD HOUSE,59 MARINE TERRACE, 440059
MTF COFFEE HOUSE,703 HOUGANG AVE 2, 530703
MUHAMMAD'S TEH TARIK EATING HOUSE,503 TAMPINES CENTRAL 1, 520503
MUI THIANG KEE EATING HOUSE,34 CASSIA CRES, 390034
NAM WAH,11 UPPER BOON KENG RD, 380011
NAM WAH,631 BEDOK RESERVOIR RD, 470631
NAM WAH COFFEESHOP,929 TAMPINES ST 91, 520929
NAN HEONG HO KEE,148 SILAT AVE, 160148
NEW CENTURY,828 TAMPINES ST 81, 520828
NEW CENTURY CAFE,19 GHIM MOH RD, 270019
NEW CENTURY FOOD HOUSE,539 BEDOK NORTH ST 3, 460539
NEW CENTURY FOOD HOUSE,66 LORONG 4 TOA PAYOH, 310066
NEW CENTURY FOOD HOUSE (151),151 BISHAN ST 11, 570151
NEW CENTURY FOODHOUSE CLEMENTI,721 CLEMENTI WEST ST 2, 120721
NEW CHANGI EATING HOUSE,57 NEW UPPER CHANGI RD, 461057
NEW FAMILY FOOD COURT,55 SUNGEI KADUT ST 1, 729358
NEW TREND EATING HOUSE,120 POTONG PASIR AVE 1, 350120
NEWTON FOOD CENTRE,500 CLEMENCEAU AVE NORTH, 229495
NTI FOOD COURT,964 JURONG WEST ST 91, 640964
NTUC FOODFARE (309),309 CHOA CHU KANG AVE 4, 680309
NTUC FOODFARE (673B),673B CHOA CHU KANG CRES, 682673
OCEAN 92,92 LORONG 4 TOA PAYOH, 310092
OLD TIONG BAHRU BAK KUT THE PTE LTD,58 SENG POH RD, 160058
ONE FAMILY FOOD CENTRE,3 SAKRA RD, 627878
ONE PUNGGOL HAWKER CENTRE,1 PUNGGOL DR, 828629
ORANG ORANG,134 BUKIT BATOK WEST AVE 6, 650134
ORANGE 7 BIG CANTEEN,18 TUAS AVE 7, 639272
P12 COFFEE SHOP,205D COMPASSVALE LN, 544205
PADI EMAS (214),214 JURONG EAST ST 21, 600214
PASAR 16 @ BEDOK,16 BEDOK SOUTH RD, 460016
PASAR 216 BEDOK CENTRAL,216 BEDOK NORTH ST 1, 460216
PASIR PANJANG FOOD CENTRE,121 PASIR PANJANG RD, 118543
PASIR RIS CENTRAL HAWKER CENTRE,110 PASIR RIS CENTRAL, 519641
PDSS 318 FOOD CAFETERIA,318 JURONG EAST ST 31, 600318
PEARL'S HILL 34,34 UPPER CROSS ST, 050034
PEK KIO MARKET AND FOOD CENTRE,41A CAMBRIDGE RD, 211041
PEOPLE'S PARK FOOD CENTRE,32 NEW MARKET RD, 050032
POH N ANN,19 TOH YI DR, 590019
POH SEE TIAN EATING HOUSE,194 KIM KEAT AVE, 310194
POR KEE EATING HOUSE 1996,69 SENG POH LN, 160069
PP146 FOOD HOUSE,421C NORTHSHORE DR, 823421
PRIME COURT (116),461 YISHUN AVE 6, 760461
PRIME COURT (18),18 LORONG 7 TOA PAYOH, 310018
Q SON GROUP (57),57 GEYLANG BAHRU, 330057
Q'SON GROUP,108 ANG MO KIO AVE 4, 560108
QUALITY ROAD FOOD CENTRE,45 QUALITY RD, 618824
RASA RASA @ SENGKANG,278D COMPASSVALE BOW, 544278
RASA SEDAP SEAFOOD YISHUN,925 YISHUN CENTRAL 1, 760925
REDHILL FOOD CENTRE,85 REDHILL LN, 150085
REDHILL MARKET,79 REDHILL LN, 150079
RONG FA,710 CLEMENTI WEST ST 2, 120710
RONG LIANG,725 CLEMENTI WEST ST 2, 120725
RONG YUAN COFFEESHOP,475 UPPER SERANGOON CRES, 530475
S STAR,25 GHIM MOH LINK, 270025
S11,110 LENGKONG TIGA, 410110
S11 (302),302 WOODLANDS ST 31, 730302
S11 (304),304 WOODLANDS ST 31, 730304
S11 (34),34 UPPER CROSS ST, 050034
S11 (43),43 HOLLAND DR, 270043
S11 (450),450 ANG MO KIO AVE 10, 560450
S11 (504),504 BISHAN ST 11, 570504
S11 (630A),630A WOODLANDS RING RD, 731630
S11 (640),640 BUKIT BATOK CENTRAL, 650640
S11 (711),711 ANG MO KIO AVE 8, 560711
S11 (727),727 CLEMENTI WEST ST 2, 120727
S11 (744),744 YISHUN ST 72, 760744
S11 FOODCOURT @ CHOA CHU KANG,787B CHOA CHU KANG DR, 681787
S17 COMMUNITY KITCHEN,57 LENGKOK BAHRU, 151057
SAM YAT EATING HOUSE,252 JURONG EAST ST 24, 600252
SEDAP,735 PASIR RIS ST 72, 510735
SEMBAWANG HILLS FOOD CENTRE,590 UPPER THOMSON RD, 574419
SENG KANG NEW MARKET,118 RIVERVALE DR, 540118
SENJA HAWKER CENTRE,2 SENJA CLOSE, 677632
SERANGOON GARDEN MARKET AND FOOD CENTRE,49A SERANGOON GARDEN WAY, 555945
SHENG HUI COFFEESHOP,45 SIMS DR, 380045
SHI FU EATING HOUSE,261 PUNGGOL WAY, 820261
SHI WEI TIAN,204 BEDOK NORTH ST 1, 460204
SHIFU,445 TAMPINES ST 42, 520445
SHUNFU MART FOOD CENTRE MARKET,320 SHUNFU RD, 570320
SILVER SPOON,293 YISHUN ST 22, 760293
SIMS VISTA FOOD CENTRE,49 SIMS PLACE, 380049
SIN BEE KENG RESTAURANT,74 WHAMPOA DR, 320074
SIN CHWEE MINI MART,371 BUKIT BATOK ST 31, 650371
SIN EATING HOUSE,537 BUKIT BATOK ST 52, 650537
SIN HIAP HUAT,10 NORTH BRIDGE RD, 190010
SIN HIN FOOD PLACE PTE LTD,9012 TAMPINES ST 93, 528845
SIN HUAT LEE RESTAURANT,371 BUKIT BATOK ST 31, 650371
SIN HWA EATING HOUSE,10 TUAS AVE 3, 639409
SIN KEE HEONG,117 COMMONWEALTH DR, 140117
SINAR SEAFOOD (456 JURONG WEST),456 JURONG WEST ST 41, 640456
SINAR SEAFOOD (608 AMK),608 ANG MO KIO AVE 5, 560608
SING HIAP HUAT,19 LORONG 7 TOA PAYOH, 310019
SK COFFEE,56 NEW UPPER CHANGI RD, 461056
SOO SAN NA FAMILY CAFÉ,22 WOODLANDS LINK, 738734
SOON HUAT FOOD CENTRE,233 LORONG 8 TOA PAYOH, 310233
SOON SOON LAI EATING HOUSE,32 DEFU LN 10, 539213
SPICE KITCHEN,117 PENDING RD, 670117
SPRING LEAF EATING HOUSE,69 BEDOK SOUTH AVE 3, 460069
ST 82 COFFEESHOP,844 TAMPINES ST 82, 520844
SUNDAY F&B,532 ANG MO KIO AVE 10, 560532
SUNGEI KADUT EATING HOUSE,32 PIONEER SECTOR 2, 628388
SUPER 28 COFFEE SHOP,184 TOA PAYOH CENTRAL, 310184
SUPERLUCK (440),440 BUKIT BATOK WEST AVE 8, 650440
SUPERLUCK FC PTE LTD (YISHUN AVENUE),317 YISHUN AVE 9, 760317
TAHOE GARDEN,493 JURONG WEST ST 41, 640493
TAI HO SOON COFFEESHOP,1 TANJONG PAGAR PLAZA, 082001
TAI WAH,892C WOODLANDS DR 50, 732892
TAI WAH CHOK KEE,435A HOUGANG AVE 8, 531435
TAMAN JURONG FOOD CENTRE,3 YUNG SHENG RD, 618499
TAMPINES ROUND MARKET & FOOD CENTRE,137 TAMPINES ST 11, 521137
TAMPINES WET MARKET,201C TAMPINES ST 21, 523201
TANAKA VEGETARIAN RESTAURANT,253 CHOA CHU KANG AVE 1, 680253
TANG TEA HOUSE,414 JURONG WEST ST 42, 640414
TANGLIN HALT MARKET,48A TANGLIN HALT RD, 148813
TANJONG PAGAR PLAZA FOOD CENTRE,6 TANJONG PAGAR PLAZA, 081006
TAR HUAT TRADING,374 BUKIT BATOK ST 31, 650374
TASTEBUD COFFEESHOP,932 HOUGANG AVE 9, 530932
TASTEBUD EATING HOUSE (140),140 CORPORATION DR, 610140
TASTEBUD EATING HOUSE (218),218 SUMANG WALK, 820218
TEA & KOPI 美食,1 TANJONG PAGAR PLAZA, 082001
TEBAN GARDENS HAWKER,37A TEBAN GARDENS RD, 601037
TECK GHEE COURT MARKET AND FOOD CENTRE,341 ANG MO KIO AVE 1, 560341
TEH TARIK (YISHUN),846 YISHUN RING RD, 760846
TEKKA HAWKER CENTRE,665 BUFFALO RD, 210665
TELOK BLANGAH CRESCENT MARKET AND FOOD CENTRE,11 TELOK BLANGAH CRES, 090011
TELOK BLANGAH RISE MARKET AND FOOD CENTRE,36 TELOK BLANGAH RISE, 090036
TEO CHAP BEE COFFEESHOP,19 MARSILING LN, 730019
TEOCHEW CUISINE RESTAURANT,132 BUKIT BATOK WEST AVE 6, 650132
TG 339 EATING HOUSE,339 ANG MO KIO AVE 1, 560339
THAT COFFEE PLACE,297C COMPASSVALE ST, 543297
THE CAFÉ LOBBY,21 TUAS AVENUS 13, 638988
THE GRAIN SHOP,365B UPPER SERANGOON RD, 532365
THE GREEN BEAN SOUP,22 SIN MING RD, 570022
THE MARKETPLACE@58,58 NEW UPPER CHANGI RD, 461058
THE TRADITIONAL TASTE CS,343 YISHUN AVE 11, 760343
TIAN TIAN LAI EATING HOUSE,3018 BEDOK NORTH ST 5, 486132
TIANG SENG EATING HOUSE,380 CLEMENTI AVE 5, 120380
TIMBRE+ ONE NORTH,73A AYER RAJAH CRESCENT, 139957
TIONG BAHRU FOOD CENTRE,30 SENG POH RD, 168898
TIONG BAHRU YONG TAO HU,56 ENG HOON ST, 160056
TIONG WAH RESTAURANT,16 TECK WHYE LN, 680016
TK COFFEE HOUSE,112 BISHAN ST 12, 570112
TK FOOD HOUSE,272 BUKIT BATOK EAST AVE 4, 650272
TLB65,65 TELOK BLANGAH DR, 100065
TOA PAYOH LORONG 5 HAWKER CENTRE,75 LORONG 5 TOA PAYOH, 310075
TOA PAYOH LORONG 8 MARKET AND HAWKER CENTRE,210 LORONG 8 TOA PAYOH, 310210
TOA PAYOH PALM SPRING MARKET,93 LORONG 4 TOA PAYOH, 310093
TOA PAYOH VISTA MARKET,74 LORONG 4 TOA PAYOH, 310074
TOA PAYOH WEST MARKET AND FOOD CENTRE,127 LORONG 1 TOA PAYOH, 310127
TOH GUAN FOOD N DRINKS CENTRE,282A TOH GUAN RD, 601282
TONG LAI EATING HOUSE,283 BUKIT BATOK EAST AVE 3, 650283
TONG YUAN EATING HOUSE,151 BEDOK RESERVOIR RD, 470151
TREASURES,161 BUKIT MERAH CENTRAL, 150161
TUAS AMENITY CENTRE,71 PIONEER RD, 639591
TUAS BIO MEDICAL PARK CANTEEN,128 TUAS SOUTH AVE 3, 637370
TUAS KAMPUNG,29 TUAS WEST AVE, 638427
U LAI (761),761 YISHUN ST 72, 760761
UBI PLACE EATING HOUSE,3021 UBI AVE 2, 408897
UNITED HUB 78,78 CIRCUIT RD, 370078
UPPER BOON KENG FOOD CENTRE,17 UPPER BOON KENG RD, 380017
WAH YEN,23 SIN MING RD, 570023
WAN FU (722),722 CLEMENTI WEST ST 2, 120722
WAN HAO DELICACIES,22 SIN MING RD, 570022
WAN HAO KOPITIAM 217,217 BUKIT BATOK ST 21, 650217
WAN JIN COFFEESHOP,261 SERANGOON CENTRAL DR, 550261
WAN SHUN FOODCOURT,888 WOODLANDS DR 50, 730888
WANG COFFEESHOP,116 JALAN TENTERAM, 320116
WANG NANYANG,1002 TOA PAYOH IND PARK, 319074
WANGZAI HONGKONG CAFÉ,3024A UBI RD1, 408718
WET MARKET (475 TAMPINES),475 TAMPINES ST 44, 520475
WISENG FOOD PLACE,462 CRAWFORD LN, 190462
WONDERFUL,112 BUKIT PURMEI RD, 090112
WONG POH KOPITIAM,111A WHAMPOA RD, 322111
WONG POH KOPITIAM,3004 UBI AVE 3, 408860
WU FU,5 UPPER BOON KENG RD, 380005
WU FU (103),103 GANGSA RD, 670103
WU FU (406),406 TAMPINES ST 41, 520406
WU FU (445),445 FAJAR RD, 670445
WU FU (511),511 HOUGANG AVE 10, 530511
XIAN WEI GUO SHOULD BE SIN KEE HEONG,118 COMMONWEALTH CRES, 140118
XIANG XIANG VEGETARIAN FOOD & FRUIT,810 HOUGANG CENTRAL, 530810
XING LI FA,496 JURONG WEST ST 41, 640496
Y110 COFFEE STATION PTE LTD,110 YISHUN RING RD, 760110
YAK HONG COFFEE HOUSE,590 MONTREAL LINK, 750590
YAK HONG KOPITIAM,442 JURONG WEST AVE 1, 640442
YAT KEE EATING HOUSE,55 LENGKOK BAHRU, 151055
YEN FEI LAI EATING HOUSE,322 HOUGANG AVE 5, 530322
YEW TEE WET MARKET,622 CHOA CHU KANG ST 62, 680622
YI HE EATING HOUSE,638 VEERASAMY RD, 200638
YI HO EATING HOUSE,515 BEDOK NORTH AVE 2, 460515
YI JIA FOOD CENTRE,5036 ANG MO KIO IND PARK 2, 569539
YI JIA FOOD CENTRE (263),263 KRANJI RD, 739506
YI JIA FOOD CENTRE (533),533 CHOA CHU KANG ST 51, 680533
YI JIA FOOD COURT,532 CHOA CHU KANG ST 51, 680532
YI JIA FOOD HOUSE (109),109 BUKIT PURMEI RD, 090109
YI JIA FOOD HOUSE (982),982 BUANGKOK CRES, 530982
YIHUAT CAFE,681 HOUGANG AVE 8, 530681
YISHUN 675 COFFEESHOP,675 YISHUN AVE 4, 760675
YISHUN 81 FOODCOURT,925 YISHUN CENTRAL 1, 760925
YISHUN PARK HAWKER CENTRE,51 YISHUN AVE 11, 768867
YONG HUA CHA SHI,82 MACPERSON LN, 360082
YONG KANG EATING HOUSE,4 DEFU LANE 10, 539185
YONG LI,51 LORONG 6 TOA PAYOH, 310051
